date,case,death,case_cum,death_cum
2020-01-22,1,0,1,0
2020-01-23,1,0,1,0
2020-01-24,2,0,2,0
2020-01-25,2,0,2,0
2020-01-26,5,0,5,0
2020-01-27,5,0,5,0
2020-01-28,5,0,5,0
2020-01-29,5,0,5,0
2020-01-30,5,0,5,0
2020-01-31,7,0,7,0
2020-02-01,8,0,8,0
2020-02-02,8,0,8,0
2020-02-03,11,0,11,0
2020-02-04,11,0,11,0
2020-02-05,11,0,11,0
2020-02-06,11,0,11,0
2020-02-07,11,0,11,0
2020-02-08,11,0,11,0
2020-02-09,11,0,11,0
2020-02-10,11,0,11,0
2020-02-11,12,0,12,0
2020-02-12,12,0,12,0
2020-02-13,13,0,13,0
2020-02-14,13,0,13,0
2020-02-15,13,0,13,0
2020-02-16,13,0,13,0
2020-02-17,13,0,13,0
2020-02-18,13,0,13,0
2020-02-19,13,0,13,0
2020-02-20,13,0,13,0
2020-02-21,15,0,15,0
2020-02-22,15,0,15,0
2020-02-23,15,0,15,0
2020-02-24,15,0,15,0
2020-02-25,15,0,15,0
2020-02-26,15,0,15,0
2020-02-27,16,0,16,0
2020-02-28,16,0,16,0
2020-02-29,24,1,24,1
2020-03-01,30,1,30,1
2020-03-02,53,6,53,6
2020-03-03,73,7,73,7
2020-03-04,104,11,104,11
2020-03-05,172,12,172,12
2020-03-06,217,14,217,14
2020-03-07,336,17,336,17
2020-03-08,450,21,450,21
2020-03-09,514,22,514,22
2020-03-10,703,28,703,28
2020-03-11,1105,32,1105,32
2020-03-12,1521,40,1521,40
2020-03-13,2035,48,2035,48
2020-03-14,2751,52,2751,52
2020-03-15,2918,60,2918,60
2020-03-16,4278,84,4278,84
2020-03-17,6018,107,6018,107
2020-03-18,8793,143,8793,143
2020-03-19,13433,192,13433,192
2020-03-20,18188,240,18188,240
2020-03-21,25002,309,25002,309
2020-03-22,32764,366,32764,366
2020-03-23,42313,482,42313,482
2020-03-24,52348,600,52348,600
2020-03-25,63932,821,63932,821
2020-03-26,80438,1041,80438,1041
2020-03-27,98033,1327,98033,1327
2020-03-28,117138,1935,117138,1935
2020-03-29,135587,2292,135587,2292
2020-03-30,155199,2652,155199,2652
2020-03-31,181971,3218,181971,3218
2020-04-01,205565,4290,205565,4290
2020-04-02,235606,5456,235606,5456
2020-04-03,267245,6632,267245,6632
2020-04-04,301666,7789,301666,7789
2020-04-05,329674,8967,329674,8967
2020-04-06,359032,10262,359032,10262
2020-04-07,390814,12402,390814,12402
2020-04-08,422542,14282,422542,14282
2020-04-09,456387,16131,456387,16131
2020-04-10,490165,18056,490165,18056
2020-04-11,519414,20109,519414,20109
2020-04-12,547956,21670,547956,21670
2020-04-13,573039,23142,573039,23142
2020-04-14,599165,25370,599165,25370
2020-04-15,629083,27953,629083,27953
2020-04-16,660555,32542,660555,32542
2020-04-17,692314,35791,692314,35791
2020-04-18,724504,37178,724504,37178
